,ID,Definicija
3375,ENG30-14000403-n,stanje služenje kao služben i autorizovan predstavnik ili zastupnik . 
3376,ENG30-00201058-n,Čin koji se prelaziti iz jedan stanje ili nestati u sledeći . 
3377,ENG30-00520257-n,javan prikazivanje neki zabava . 
3378,ENG30-10112591-n,osoba koji dobro poznavati i na koji gledati s poverenje i naklonost . 
3379,ENG30-07447641-n,prilika o koji se ljudi okupljati radi socijalan druženje i zabava . 
3380,ENG30-04726724-n,Suštinski kvaliet ili karakteristika po kojij se nešto prepoznavati . 
3381,ENG30-04623113-n,sastav emocionalan i inetelektualnih atribut koji određivati karakterističan postupak i reakcija osoba . 
3382,ENG30-06000400-n,nauka koji se baviti izučavanje fizički svet i njegov fenomen . 
3383,ENG30-11408559-n,sav fenomen koji jesam veštački stvoriti . 
3384,ENG30-06904171-n,"ljudski pisan i govorni jezik koji koristiti neki zajednica ; suprotan od , reći , računarski jezik . "
3385,ENG30-06894544-n,jezik koji jesam stvoriti s namera za specifičan potreba . 
3386,ENG30-11495041-n,Sila na jedinica površina ; mera se u paskal ( SI jedinica ) ili dinima ( cgs jedinica ) . 
3387,ENG30-01117541-n,Opšta aktivnost koji se nešto prodavati . 
3388,ENG30-10480253-n,osoba koji se baviti neki učen profesija . 
3389,ENG30-06568978-n,sekvencija instrukcija koji računar moći da interpretirati ili izvršiti ( u računarstvo ) . 
3390,ENG30-04007894-n,tvorevina koji jesam stvoriti neki osoba ili neki proces . 
3391,ENG30-00199130-n,Čin promena nešto u nešto što se razlikovati po suštinski karakteristika . 
3392,ENG30-00029677-n,fenomen koji karakterisati postepen promena kroz niz stanje . 
3393,ENG30-00351485-n,Čin promena količina ili veličina nešto . 
3394,ENG30-07296428-n,Događaj koji se desiti kada nešto preći iz jedan stanje u drugi . 
3395,ENG30-03700963-n,sprava za prevazilaženje otpor u jedan tačka primena sila u neki drugi . 
3396,ENG30-03659809-n,jednostavan mašina koji se postignuti mehanički pomeranje kada imati oslonac . 
3397,ENG30-05062748-n,svojstvo koji se odnositi na zauzimanje prostor . 
3398,ENG30-05248181-n,"put , kanal ili duktus kroz koji nešto moći da prolaziti . "
3399,ENG30-10373998-n,direktan naslednik neki osoba . 
3400,ENG30-01503061-n,toplokrvan kičmenjak koji polagati jaje i karakterisati ga perje i prdnji ud pretvoriti ukrila . 
3401,ENG30-01102436-n,primerak štampan delo koji ići u distribucija . 
3402,ENG30-04564698-n,svaki tvorevina koji se sastojati od cesta ili put koji omogućavati prolaz iz jedan mesto u drugi . 
3403,ENG30-04096066-n,Obično javan put za putovanje ili transport . 
3404,ENG30-07309599-n,jedan primerak ili jedan pojavljivanje neki događaj . 
3405,ENG30-09387222-n,Lini po koji nešto putovati ili se kretati . 
3406,ENG30-08616311-n,Utvrđena linija za putovanje ili pristup . 
3407,ENG30-14621446-n,dva ili više atom koji jesam zajedno pozvezani u jedan jedinica i koji obrazovati deo molekul . 
3408,ENG30-09632518-n,Oosba koji imati i baviti se neki specijalan zanimanje . 
3409,ENG30-04603081-n,malo radno mesto na koji se izrađivati rukotvorina i manufaktura . 
3410,ENG30-02871525-n,radnja u koji se prodavati knjiga . 
3411,ENG30-02874086-n,mali radnja na vašar za prodaja roba ili zabava . 
3412,ENG30-02879309-n,radnja u koji se prodavati ženski odeća i nakit . 
3413,ENG30-00433113-n,radnja u koji se prodavati poslastica . 
3414,ENG30-03367410-n,radnja u koji se prodavati cveće i ukrasni bilje . 
3415,ENG30-03916385-n,radnja u koji se prodavati parfem . 
3416,ENG30-04200800-n,radnja u koji se prodavati cipela . 
3417,ENG30-02776631-n,"mesto gde se pečen stvar , kao hleb , precivo i kolač , proizvoditi i prodavati . "
3418,ENG30-02791270-n,radnja u koji se muškarac šišati . 
3419,ENG30-02833140-n,licenciran radnja za klađenje koji jesam na hipodrom . 
3420,ENG30-02927161-n,"radnja u koji se prodavati meso i živina , i ponekad riba . "
3421,ENG30-03039827-n,radnja u koji se suv putem čist odeća . 
3422,ENG30-03173387-n,radnja u koji se prodavati delikates ( salata ili spremljen meso ) . 
3423,ENG30-03901974-n,radnja u koji se moći pozjamiti novac na osnova ličan svojina kao garancija . 
3424,ENG30-03952576-n,radnja u koji se pica praviti i prodavati . 
3425,ENG30-04131208-n,radnja u koji raditi frizer i drugi ulepšivači . 
3426,ENG30-02952798-n,"radnja u koji se prodavati hrana i ličan stvar osoblje u neki institucija , škola ili kamp . "
3427,ENG30-04271531-n,radnja koji prodavati samo jedan vrsta roba . 
3428,ENG30-07859284-n,beo kristal ugljenohidrata koji se koristiti za slađivanje i konzerviranje 
3429,ENG30-13947415-n,pozicija u druđtvenoj hijerarhija . 
3430,ENG30-00397953-n,Čin deljenje ili odvajanje tako što se prav međa koji deliti ili držati na odstojanje . 
3431,ENG30-04748836-n,kvalitet da se biti drugaciji . 
3432,ENG30-05083328-n,kvalitet koji posedovati niz stvar između koji postojati prostor . 
3433,ENG30-08238463-n,telo učenik koji zajedno podučavati . 
3434,ENG30-00250259-n,"Čin poboljšavanje širenje , povećavanje ili profinjavanje . "
3435,ENG30-00859001-n,telesni reakcija do koji dolaziti usled neki stimulans ili agens . 
3436,ENG30-06286395-n,jedinica jezik koji govornik taj jezik moći da identifikovati . 
3437,ENG30-06287620-n,Reč ili fraza koji se dobijati preuređivanje slovo neki drugi reč ili fraza . 
3438,ENG30-06287859-n,"Reč , na primer zamenica , koji se koristiti da biti se izbegnuti ponavljanje . referent anafora jesam odrediti njen prethodnik . "
3439,ENG30-06288024-n,dva reč koji označavati suprotno značenje . 
3440,ENG30-06294828-n,Reč ili fraza koji se isto čitati i s lev u desno i s desni u levo . 
3441,ENG30-06290539-n,Reč koji imati dva sloga . 
3442,ENG30-04202417-n,Trgovačka firma za maloprodaja roba i usluga . 
3443,ENG30-04443257-n,"radnja koji prodavati lula , duvan za lula , cigara i cigareta . "
3444,ENG30-06292290-n,"dva reč jesam heteronimi ako se pisati isto ali ona jesam izgovor drugačiji ( kao "" pas "" ) . "
3445,ENG30-06292649-n,dva reč jesam homonim ako se izgovarati ili pisati isto ali imati različit značenje . 
3446,ENG30-07131169-n,dva reč jesam homofoni ako se izgovarati isto ali imati različit značenje i / ili se pisati različito . 
3447,ENG30-06292836-n,Reč koji jesam opšti od dat reč . 
3448,ENG30-06292973-n,Reč koji jesam specifičan od dat reč . 
3449,ENG30-06293746-n,Reč koji imenovati deo velik celina . 
3450,ENG30-06292478-n,Reč koji imenovati celina čiji jesam deo dati reč . 
3451,ENG30-06294309-n,Reč koji se sastojati od jedan sloga . 
3452,ENG30-06294441-n,Novoizmišljena reč ili fraza . 
3453,ENG30-06302381-n,"u gramatika reč pomoću koji se izražavati količina , kao "" petnaest "" i "" mnogi "" . "
3454,ENG30-06302542-n,"u logika reč , kao što jesam "" neki "" , "" sav "" i "" ni jedan "" , koji povezivati promenljiv u logički iskaz . "
3455,ENG30-06303682-n,za dva reč koji se moći razmeniti u neki kontekst kazati se da du sinoniman u taj kontekst . 
3456,ENG30-06303888-n,Reč ili izraz koji se koristiti za neki određenu stvar . 
3457,ENG30-06304338-n,Reč koji imati tri sloga . 
3458,ENG30-08456993-n,Logično i razumljiv uređivanje odvojen element . 
3459,ENG30-01009871-n,Smeštanje po redosled . 
3460,ENG30-06417598-n,knjiga koji koristiti da biti dobiti verodostojan podatak . 
3461,ENG30-13412321-n,knjiga u koji jesam izlistan ime i transakcija . 
3462,ENG30-00426928-n,"aktivnost koji stimulisati , zabavljati i razonoditi . "
3463,ENG30-10468750-n,Glavni administrativan funkcioner koledž ili univerzitet . 
3464,ENG30-01217499-n,Čin koji se nešto reprezentovati ; zastupati neki ili neki grupa i govoriti u njihov ime s odobrenje . 
3465,ENG30-13971065-n,"sklad ljudski mišljenje , postupak ili karakter . "
3466,ENG30-07809096-n,hrana koji jesam sastojak neki smesiti pri kuvanje . 
3467,ENG30-04161981-n,deo nameštaj koji jesam namenjen sedenje . 
3468,ENG30-03001627-n,sedalo za jedan osoba sa potpora za leđa . 
3469,ENG30-04256520-n,Presvučeno sedati za više osoba . 
3470,ENG30-04326896-n,jednostavno sedati bez naslon i potpora za ruka . 
3471,ENG30-02828884-n,Dugačko sedalo za više osoba . 
3472,ENG30-04447861-n,sedalo na klozetski šolja pričvrstiti šarka . 
3473,ENG30-05404728-n,"supstanca sa specijalan funkcija koji lučiti ćelija ili žlezda , posebno ona koji jesam otpad . "
3474,ENG30-00844254-n,postupak vezati za seksualan opštenje . 
3475,ENG30-05712076-n,nerazvijen elementaran svesnost neki stimulans . 
3476,ENG30-15208333-n,vreme kompletan rotacija zemlja u odnos na neki zvezda koji jesam @card@ minuta kratak od srednji solarni dan . 
3477,ENG30-06646243-n,biti koji komunikacija koji se kodirati poruka . 
3478,ENG30-11458624-n,u fizika dejstvo koji proizvoditi promena u fizički veličina . 
3479,ENG30-05765415-n,Nešto vidljivo što preko po asocijacija ili konvencija predstavljati nešto drugo što jesam nevidljiv . 
3480,ENG30-06806469-n,proizvoljan pisan ili štampan znak koji jesam primiti konvencionalan značenje . 
3481,ENG30-14299637-n,"u medicina , biti kakav osećaj ili promena u telesni funkcija koji pacijent doživljavati a povezivati se s određenom bolest . "
3482,ENG30-08435388-n,grupa nezavisan ali međusobno povezan element koji činiti jedinstven celina . 
3483,ENG30-09439433-n,sunce i nebeski telo koji se oko on okrueću u njegov gravitacioni polje . 
3484,ENG30-00283127-n,kretanje koji telo samo pokretati . 
3485,ENG30-05661996-n,ukupnost metoda ili pravilo koji upravljati ponašanje . 
3486,ENG30-05726596-n,organizovati struktura za uređivanje i klasifikovanje . 
3487,ENG30-04329190-n,Spremište za roba . 
3488,ENG30-00372607-n,odlaganje u skladište . 
3489,ENG30-07358985-n,nagao prelazak . 
3490,ENG30-07596684-n,hrana koji sadržati pun šećer . 
3491,ENG30-07600506-n,Voće kuvati u šećeran sirup obložen kristal šećer . 
3492,ENG30-07642933-n,ukuvati zgnječiti voće . 
3493,ENG30-03876519-n,Grafička umetnost koji se sastojati od umetnički kompozicija dobijen nanošenje boja na neki površina . 
3494,ENG30-04319432-n,"slika neživ predmet , na primer voće i cveće . "
3495,ENG30-03799710-n,slika realizovati na površina zid . 
3496,ENG30-03931044-n,"vizuelan reprezentacija objekt , scena , osoba ili apstrakcija , proizvesti na neki površina . "
3497,ENG30-08591680-n,relativno tanak prostor ili regija koji ležati preko ili ispod drugi . 
3498,ENG30-03650173-n,Pojedinačna naslaga neki obično homogen supstanca . 
3499,ENG30-06828818-n,Uobičajeni karakter alfabet koji se koristiti za predstavljanje govor . 
3500,ENG30-00351638-n,Čin smanjivanje ili redukovanje nešto . 
3501,ENG30-08679972-n,putanja koji voditi do neki mesto ili tačka . 
3502,ENG30-01051331-n,Čin smeštanje nešto na odrediti mesto ili lokacija . 
3503,ENG30-06353757-n,sistem signal koji se koristiti za predstavljanje slovo i cifira prilikom prenošenje poruka . 
3504,ENG30-07829412-n,Začinjeni preliv koji se služiti kao dodatak uz jela . 
3505,ENG30-00523513-n,aktivan rekreacija koji podrazumevati fizički vežbanje i nadmetanje . 
3506,ENG30-09820263-n,osoba trenirati da se nadmetati u sport . 
3507,ENG30-08570758-n,Komad zemlja pripremlje za neki sportski igra . 
3508,ENG30-05643190-n,Umešnost u rukovanje koji poticati od vežbanje i dobar poznavanje . 
3509,ENG30-14984973-n,materijal koji se koristiti zbog svoj boja . 
3510,ENG30-00172710-n,kako se dobijati neki rezultat ili postignuti neki cilj . 
3511,ENG30-03259505-n,Smeštaj u koji neki živiti . 
3512,ENG30-03238131-n,prostorija u koji moći da presvlačiti odeća . 
3513,ENG30-02821627-n,sob koji se koristiti prvenstveno za spavanje . 
3514,ENG30-03200701-n,sob u koji se ručavati . 
3515,ENG30-03679712-n,"sob u privatan kuća ili zgrada u koji ljudi moći da sesti , pričati i relaksirati se . "
3516,ENG30-09620078-n,osoba koji nastanjivati neki mesto . 
3517,ENG30-05816790-n,podatak o neki fizički stanje koji se korisnik prezentirati na metar ili neki sličan instrument . 
3518,ENG30-13927383-n,Opšte stanje u koji se stvar nalaziti . 
3519,ENG30-00024720-n,Način na koji nešto postojati u odnos na svoj glavne atribut . 
3520,ENG30-00019046-n,osoba koji jesam roditi na neki određenom mesto ; osoba koji jesam taj mesto zavičaj . 
3521,ENG30-04924103-n,kako dugo nešto postojati . 
3522,ENG30-09416076-n,masa ili grudati čvrsto konsolidovati mineralan materija . 
3523,ENG30-07066659-n,"Način na koji se nešto izražavati ( u jezik , umetnost ili muzika ) a što ej karakterističan za određenu osoba , grupa ljudi ili period . "
3524,ENG30-05844105-n,Određena vrsta izgledati . 
3525,ENG30-04379243-n,deo nameštaj koji imati gladak ravnugornju površina koji obično podržavati jedan ili više nogari . 
3526,ENG30-03982430-n,oprema za igra koji se sastojati od težak sto na koji se igrati bilijar . 
3527,ENG30-04301000-n,mali sto na koji stajati stvar različit vrsta . 
3528,ENG30-02738535-n,Stolica koji sa svaki strana imati potpora za ruka . 
3529,ENG30-02791124-n,velik fiksiran prilagodljiv stolica u koji berberin sneštaju svoj mušterija . 
3530,ENG30-03376595-n,Stolica koji moći da se sklopiti radi lak skladištenje . 
3531,ENG30-03649674-n,Stolica koji ostajati napolju da biti se koristiti u bašta . 
3532,ENG30-04576002-n,pokretan stolica postaviti na velik točak ; koristiti jesam invalid i oni koji ne moći da hodati ; često jesam pokretati sam korisnik . 
3533,ENG30-07519253-n,Osećaj koji se doživljavati u očekivanje neki određenog bol ili opsasnosti i obično ga pratiti želja da se pobeći . 
3534,ENG30-04213626-n,spoljnji površina neki objekt . 
3535,ENG30-10402824-n,osoba koji jesam uključiti u neki zakonski postupak . 
3536,ENG30-09617867-n,osoba koji imati specijalan znanje ili sposobnost koji vešto obavljati . 
3537,ENG30-04931965-n,Način na koji se nešto konstruisati i raspored njegov delovati . 
3538,ENG30-05671325-n,Neodređeno specifikovan preokupacija . 
3539,ENG30-08152787-n,"Sveštenici posmatran kao celina , nasuprot laik . "
3540,ENG30-08276720-n,obrazovni institucija . 
3541,ENG30-08412492-n,Škola koji se sastjae nedelja radi religijski obrazovanje . 
3542,ENG30-08278589-n,Škola koji podučavati student sa udaljen mesto stanovana putem pošta . 
3543,ENG30-08278822-n,Škola u koji đak učiti da plesati . 
3544,ENG30-08279184-n,Škola u koji ljudi učiti da upravljati automobil . 
3545,ENG30-08411170-n,"Škola koji jesam privatno osnovan i tako se ona i upravljati , a izdržavati se donacija i upisnina . "
3546,ENG30-04146050-n,zgrada u koji se mlad ljudi obrazovati . 
3547,ENG30-08411970-n,Škola u koji se čas održavati uveče za đak koji ne moći da pohađati škola u tok dan . 
3548,ENG30-10605985-n,radnik koji jesam steći poseban veština . 
3549,ENG30-03446070-n,deo oprema za golf koji igrač koristiti da biti udariti loptica . 
3550,ENG30-04192858-n,Zaštitini omotač ili građa . 
3551,ENG30-09379111-n,otvoren ili prazan prostor u stvar ili između ona . 
3552,ENG30-09613191-n,osoba koji učestvovati u takmičenje . 
3553,ENG30-07352190-n,jedan u niz greben koji se kretati površina tečnost ( posebno preko neki velik voden masa ) . 
3554,ENG30-14939900-n,supstanca koji jesam u fluidan stanje na sobni temperatura i pritisak . 
3555,ENG30-14940386-n,supstanca koji jesam u tečan stanje na sobni temperatura i pritisak . 
3556,ENG30-06387980-n,reći nešto što jesam napisati . 
3557,ENG30-06426111-n,broj koji se koristiti da biti se pozvati neki odrediti telefon . 
3558,ENG30-05246511-n,"u anatomija , biti koji šupalj cilindričan telesni struktura . "
3559,ENG30-05237755-n,Pokrivač za telo ili deo telo . 
3560,ENG30-09224911-n,zaseban 3-dimenzionalni obajekat koji imati masa i razlikovati se od drugi objekt . 
3561,ENG30-08208560-n,skupina koji sarađivati . 
3562,ENG30-09909060-n,"osoba odrediti vrsta , koji obično imati pun ekscentričnost . "
3563,ENG30-05267345-n,deo organizam koji se sastojati od skup ćelija koji imati sličan strkturu i funkcija . 
3564,ENG30-04574999-n,jednostavan mašina koji se sastojati od kružan okvir sa žbica ( ili čvrst disk ) koji moći da se okretati na osovina ( na primer na vozilo ili drugi mašina ) . 
3565,ENG30-08681222-n,Opšta linija orijentacija . 
3566,ENG30-06646531-n,Pojedinačni primerak neki tip simbol . 
3567,ENG30-02773037-n,fleksibilan kontejner sa jedan otvor . 
3568,ENG30-04339291-n,tvorevina koji se sastojati od uzak ravan parče materijal . 
3569,ENG30-12102133-n,"zelen travnat biljka sa uzak lišće , uzgajati se u travnjak ; koristiti se za ispaša životinja preživar ; kosa se i sušiti za sena . "
3570,ENG30-08187033-n,organizacija izvođač i pridružen osoblje ( posebno pozorišni ) . 
3571,ENG30-14235200-n,abnormalan nov masa tkivo koji nemati nikakav uloga . 
3572,ENG30-05752544-n,saznajni proces usvajanje veština ili znanje . 
3573,ENG30-14009763-n,stanje u koji jesam akcija moguć . 
3574,ENG30-01173038-n,Snažan pokret pesnica ili oružje . 
3575,ENG30-13285176-n,"imovina koji pripadati neki osoba ili grupa , ona koji jesam oni uložiti ili koji ona po prava pripadati . "
3576,ENG30-03169390-n,Nešto što se koristiti za ulepšavanje . 
3577,ENG30-05715283-n,senzacija do koji dolaziti kada receptor ukus na jezik i u ždrelo preneti informacija o hemijski sastav rastvorljiv stimulusa . 
3578,ENG30-06339416-n,"Obraćanje koji označavati status ili funkcija , npr . Gospođa ili general . "
3579,ENG30-05611302-n,onaj što jesam odgovoran za nečiji misao i osećanje ; sedište sposobnost rezonovanje . 
3580,ENG30-09812338-n,osoba čiji kreativan rad pokazivati senzitivnost i mašta . 
3581,ENG30-00933420-n,stvaranje lep i značajan stvar . 
3582,ENG30-08304895-n,Politička jedinica koji stvarati prethodno nezavisan ljudi ili organizacija . 
3583,ENG30-07938773-n,Sređeno grupisanje stvar ili osoba posmatrati kao celina ; rezultat uređivanje . 
3584,ENG30-00237078-n,Čin formiranje nešto . 
3585,ENG30-09366317-n,teren izdignut oblik . 
3586,ENG30-05855125-n,Nešto što imati veličina i moći da se predstaviti matematički izraz pomoću konstane ili promenljiv . 
3587,ENG30-05511618-n,organ i tkivo koji jesam uključiti u cirkulacija krv i limfa kroz telo . 
3588,ENG30-05418717-n,krvni sud koji sprovoditi krv iz kapilara ka srce ; sav vena osim plućni sprovoditi krv nezasićen ugljen-dioksidom . 
3589,ENG30-05941423-n,biti koji saznajni sadržaj za koji se verovati da jesam tačan . 
3590,ENG30-07726043-n,"grupa ljudi koji imati zajednički etnički , kulturan ili verski karakteristika . "
3591,ENG30-07726626-n,Članovi verski zajednica koji živa zajedno . 
3592,ENG30-07534430-n,Osećanje velik žalost povezati sa gubitak ili lišavanje . 
3593,ENG30-05637558-n,sposobnost ostvaren vežbanje . 
3594,ENG30-11525955-n,"kretanje vazduh , ponekad velik snaga , iz područje visok pritisak ka područje nizak pritisak . "
3595,ENG30-13928388-n,"stanje povezanost među ljudi , posebno emocionalan priroda , "
3596,ENG30-13928668-n,"stanje koji uključivati uzajamno delovanje ljudi , partija ili zemlja . "
3597,ENG30-13780719-n,odnos među ljudi . 
3598,ENG30-14966667-n,klizav ili viskozan tečnost ili topljiv supstanca koji se ne rastvarati u voditi . 
3599,ENG30-09956147-n,osoba koji jesam uticajan i sa koji jesam povezati na neki način ( porodičan ili poznanstvo ) . 
3600,ENG30-07891726-n,"Fermentisani sok , obično grožđe . "
3601,ENG30-14431902-n,visok položaj ili pozicija . 
3602,ENG30-06633205-n,Odštampana ili napisati kartica koji se predavati kao znak poseta . 
3603,ENG30-10541229-n,osoba koji vladati ili koamnduje . 
3604,ENG30-05229622-n,tanak i veoma izdužiti supstanca . 
3605,ENG30-09824609-n,osoba koji vršiti aministrativnu kontrola nad drugi . 
3606,ENG30-07705931-n,"jestiv reproduktivan telo biljka semenjača , posebno onaj koji imati sladak meso . "
3607,ENG30-01473806-n,Kičmenjak koji živiti stalno ili uglavnom u voditi . 
3608,ENG30-15122231-n,"Nedefinisani period , obično obeležiti specifičan atribut i aktivnost . "
3609,ENG30-15129927-n,vreme koji pokazivati časovnik . 
3610,ENG30-05839024-n,kategorija stvar koji se izdvajati neki zajednički karakteristika ili kvalitet . 
3611,ENG30-08252602-n,grupa ljudi okupljen zajedno radi zadovoljstvo . 
3612,ENG30-09616922-n,Oosba koji pokušavati da se dopasti ili da zabaviti . 
3613,ENG30-07811416-n,Aromatična trava iz saksija koji se koristiti u kulinarstvo zbog dobar ukus . 
3614,ENG30-07490713-n,osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . 
3615,ENG30-09774783-n,osoba koji zastupati neki stvar ili predlagati neki ideja . 
3616,ENG30-05682950-n,Osećaj zanimanje i zainteresovanost za neki ili nešto . 
3617,ENG30-07966140-n,Veća društven grupa koji imati poseban kulturan i ekonomski organizacija . 
3618,ENG30-08223802-n,grupa ljudi koji živiti u određenom lokalan područje . 
3619,ENG30-06398401-n,poslednji odeljak neki saopštenje . 
3620,ENG30-05773049-n,Metodičan proces logički rezonovanje . 
3621,ENG30-07572353-n,zaliha ili isporuka hrana . 
3622,ENG30-09483738-n,"plod mašta ; osoba koji postojati samo u legenda , mit i priča . "
3623,ENG30-14336539-n,"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . "
3624,ENG30-07168623-n,"naredba koji izdavati nadređen lice ( na primer , vojni ili služben lice ) i koji se morati poslušati . "
3625,ENG30-12205694-n,biljka koji nemati stalno drveno stablo ; mnogi jesam baštenski cvetnjak ili saksijske biljka ; neki imati lekovit svojstvo ; neki jesam štetočina . 
3626,ENG30-05670972-n,"briga vezati za ovaj svet , nasuprot briga vezan za posthuman život . "
3627,ENG30-04546855-n,arhitektonski pregrada čiji visina i dužina jesam velik od širina ; koristiti se da podeliti ili zatvoriti neki prostor ili da podržati drugi struktura . 
3628,ENG30-06817782-n,"pisan ili štampan simbol , na primer interpunkcijski znak . "
3629,ENG30-06797169-n,Nešto što služiti da ukazati ili predložiti . 
3630,ENG30-07270179-n,prepoznatljiv simbol . 
3631,ENG30-05616786-n,Obično tehnički znanje i veština koji jesam potreban da biti se nešto uraditi . 
3632,ENG30-07802417-n,prehrambeni materija koji se dobijati od skrobni zrno žitarica . 
3633,ENG30-09619168-n,osoba koji pripadati pol koji moći da rađati beba . 
3634,ENG30-10787470-n,odrasti ženski osoba ( nasuprot odrastao muški osoba ) . 
3635,ENG30-06794666-n,simbol sramota i nečasti . 
3636,ENG30-13961642-n,stanje življenje . 
3637,ENG30-07484265-n,Osećanje koji pratiti neki nezadovoljen stanje . 
3638,ENG30-00644583-v,"razmotriti nešto detaljno , podvrgnuti analiza da biti se otkriti njegov suštinski svojstvo ili značenje . "
3639,ENG30-01508368-v,hitnuti kroz vazduh . 
3640,ENG30-01033527-v,baviti se nešto verbalan ili u neki oblik umetnički izražavanje . 
3641,ENG30-02637938-v,"ostati na mesto , predviđati ili očekivati nešto . "
3642,ENG30-02560767-v,postupati tako da taj dovesti taj nastajanje nešto . 
3643,ENG30-02620587-v,formirati ili biti sastav nešto . 
3644,ENG30-01532589-v,Učiniti čistiti uklanjanje prljavština ili neželjen supstanca . 
3645,ENG30-02200686-v,dati kao poklon . 
3646,ENG30-00522751-v,primiti odrediti tretman ( u apstraktan značenje ) . 
3647,ENG30-00040353-v,brinuti o sav spoljašnji izgled . 
3648,ENG30-01205696-v,biti u direktan fizički kontakt sa nešto ; napraviti kontakt . 
3649,ENG30-01999798-v,povesti neki negde . 
3650,ENG30-01871979-v,pomeriti s upotreba sila . 
3651,ENG30-00931852-v,imati namera da se nešto izraziti ili preneti . 
3652,ENG30-00618878-v,utvrditi identitet neki ili nešto . 
3653,ENG30-01149470-v,"staviti karta ili figura u tok igra ; postupati strateški , npr . kartaški igra . "
3654,ENG30-01188725-v,imati potreba za nešto . 
3655,ENG30-02204692-v,biti vlasnik nešto . 
3656,ENG30-02047097-v,o mentalan ili fizički stanje ili iskustvo . 
3657,ENG30-01802494-v,dati verbalan ili drugi izraz svoj osećanje . 
3658,ENG30-02133435-v,dati odrediti utisak ili imati odrediti spoljašnji izgled . 
3659,ENG30-02287789-v,"propustiti da se nešto zadržati ili održati ; nemati više , u fizički ili prenesen značenje . "
3660,ENG30-02288828-v,ne napraviti novac u posao ; napraviti gubitak ili ne napraviti profit . 
3661,ENG30-01714208-v,dati izvedba nešto . 
3662,ENG30-01168468-v,uzimati čvrst hrana . 
3663,ENG30-01864230-v,staviti u pokret . 
3664,ENG30-02144835-v,Sprečiti da se nešto viditi ili otkriti . 
3665,ENG30-00123170-v,"Učiniti da nešto postati drukčije na neki odrediti način , a da se ne izgubiti trajno bivši karakteristika ili suština . "
3666,ENG30-02248465-v,"sresti se s nešto , na primer slučajno . "
3667,ENG30-01645601-v,"Učiniti da se nešto desiti , ne morati biti s namera . "
3668,ENG30-00309647-n,putovanje organizovan sa specijalan cilj . 
3669,ENG30-00311687-n,putovanje na svet mesto . 
3670,ENG30-00311809-n,putovanje koji se preduzimati iz zadovoljstvo . 
3671,ENG30-09641757-n,Rođen u Azija ili stanovnik Azija . 
3672,ENG30-09738708-n,Rođen u sad ili stanovnik sad . 
3673,ENG30-09270894-n,Treća planeta od sunce ; planeta na koji ja živiti . 
3674,ENG30-03909160-n,sprava koji se sastojati od telo koji jesam tako postaviti da moći slobodno da se ljuljati pod uticaj gravitacija . 
3675,ENG30-03757604-n,klatno koji otkucavati tačan tempo neki muzički komad . 
3676,ENG30-03257586-n,"sprava koji prav kopija kucan , pisan ili crtan materijal . "
3677,ENG30-02923129-n,sprava za sagorevanje gorivo . 
3678,ENG30-13930385-n,Društvena ili poslovan veza . 
3679,ENG30-13794226-n,nedostatak veza između stvar . 
3680,ENG30-11446242-n,vlaga u atmosfera koji se kondenzovati . 
3681,ENG30-03791235-n,vozilo sa točak koji se samo kretati i ne koristiti šinuti . 
3682,ENG30-02958343-n,motorni vozilo sa @card@ točak koji obično pokretati motor sa unutrašnji sagorevanje . 
3683,ENG30-03670208-n,velik luksuzan kola ; često ona voziti šofer . 
3684,ENG30-04166281-n,automobil koji jesam zatvoriti i imati prednji i zadnji sedište i dvoje ili četvoro vrata . 
3685,ENG30-02796412-n,"barijera napraviti u žurba , obično da sprečiti napredovanje neprijatelj . "
3686,ENG30-03160309-n,barijera konstruisati tako da prihvatiti voditi ili zadržati mora . 
3687,ENG30-03454707-n,Pregrada koji imati paralelan ili izukrštan šipak koji sprečavati prolaz ali propuštati vazduh . 
3688,ENG30-02858304-n,mali plovan objekt za prevoz po voditi . 
3689,ENG30-03447447-n,dug uzak čamac sa ravan dno a pokretati se veslanje ; tradicionalno se koristiti po kanal Venecija . 
3690,ENG30-04495843-n,Snažan mali čamac napraviti da vući ili gurati velik brod . 
3691,ENG30-14051917-n,stanje koji jesam normalno . 
3692,ENG30-14052046-n,stanje u koji čovek ne moći da funkcionisati normalno i bez bol . 
3693,ENG30-13125003-n,razvijen sistem koren . 
3694,ENG30-13125117-n,"u botanika , obično podzeman organ koji nemati ni pupoljka , ni lišće ni čvor ; apsorbovati voda i mineralan so ; obično pričvršćivati biljka za zemlja . "
3695,ENG30-13550318-n,proces stvaranje potomak . 
3696,ENG30-15167027-n,"vreme posle zalazak sunce a pre njegov izlazak , dok jesam napolju još mračno . "
3697,ENG30-15155747-n,taman deo dnevni ciklus shvaćen kao vremenski jedinica . 
3698,ENG30-15166462-n,poslednji deo dan ( period smanjen dnevni svetlost od kasan popodne do noć ) . 
3699,ENG30-04981941-n,poseban zvuk govor neki osoba . 
3700,ENG30-07110615-n,zvuk koji proizvoditi vibracija glasnih žica modifikovan rezonanca vokalan trakt . 
3701,ENG30-07511080-n,prijatan očekivanje . 
3702,ENG30-14450691-n,stanje u koji jesam nešto važno ili preko potrebno . 
3703,ENG30-01580050-a,Apolutno važno . 
